# The English for the synopsis lines -- the rows あらすじモード prints when you
# pick an event you have already seen. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese column is filled in by scripts/extract_summary_lines.js, which
# reads archives/Rance10EX_v1_04/37_あらすじデータ.x and keeps whatever English is
# already here. A line left blank stays Japanese in game.
#
# Keyed by the Japanese rather than by event, because the same phrase serves
# many events -- 戦闘開始 opens 85 of them -- and should be translated once.
# The order is the order the game's own table has, which is the order the
# story happens in: a line reads differently once you have read the one above.
#
# One row fits about twenty full-width characters (１２３４５６７８９０１２３４５６７８９０),
# which is both the placeholder in Game/Adv/SceneSummary.pactex and the ruler
# the designers left in field ００ of the table. Nothing wraps, so a longer
# line runs off the panel; the scripts below report which ones do.
#
# Translating a chunk at a time: scripts/summary_chunk.js prints the next
# untranslated rows as a prompt, scripts/summary_merge.js reads the reply back
# in. Nothing applies this file to the game yet -- the English still has to be
# written into 37_あらすじデータ.x, which is what npm run regenerate-ex builds.
にぽぽ温泉旅館	Nipopo Hot Spring Inn
レンジャー達の活躍	The Rangers do their part
ガード達の活躍	The Guards do their part
ヒーラー達の活躍	The Healers do their part
聖女モンスターが産んだ卵	An egg a Holy Gal Monster laid
今それが孵化する	Now it hatches
※要卵　内容若干変化	※Needs an egg - slight changes
どこかにある場所	Somewhere or other
ハニー達の謎の儀式	A strange Hanny ritual
ランス砦	Rance Fort
攻めてきた魔軍を撃退	The Monster Army attack is thrown back
ＪＡＰＡＮ、ランス城	JAPAN, Rance Castle
開墾…	Clearing the land...
進軍中のランス城	Rance Castle on the march
地表に降りて魔軍退治	Landing to clear out the Monster Army
ビスケッタさんを抱く	He beds Biscuitta
余裕が無くなってきたランス	Rance is running out of patience
シィルを抱く	He beds Sill
そうだ、ハーレムを作ろう	That's it - build a harem
ランス城、ハーレム部屋	Rance Castle, the harem room
女の子達と楽しむランス	Rance enjoys the girls
ランスは大変疲れていた	Rance was worn right out
が、ハーレムで元気充電	but the harem recharges him
ランス城、地下牢	Rance Castle, the dungeon
アニスをエロ拷問	Anise gets an erotic torture
その後、アニスは失踪した	Afterwards Anise disappeared
ランス城、図書室	Rance Castle, the library
ハウゼルが入り浸って読書	Hawzel haunts it, reading
サチコに官能小説を買いに行かせる	She sends Sachiko for erotic novels
ハウゼルと火炎書士	Hawzel and the Flame Scrivener
過保護すぎた読書規制	Reading rules far too protective
官能小説を読みふけるハウゼル	Hawzel is lost in an erotic novel
机の下に隠れてチャンスを待つランス	Rance waits under the desk
ハウゼルを抱く	He beds Hawzel
どこかの茶屋	A teahouse somewhere
火炎書士とユキ	The Flame Scrivener and Yuki-chan
サイゼルを守る作戦を考える	They plan how to protect Seizel
ランス城、深夜	Rance Castle, late at night
サイゼルが偽手紙で呼び出される	A fake letter calls Seizel out
ランスとハウゼルのセックスを目撃	He walks in on Rance and Hawzel
そのまま３Ｐ	and it turns into a threesome
３Ｐ後	After the threesome
サイゼル、ハウゼルは仲直り	Seizel and Hawzel make up
強さを取り戻したいと焦るシルキィ	Silky frets over her lost strength
ランスはデートに誘い強引に	Rance asks her out, then forces it
シルキィを抱く	He beds Silky
約束.ヘルマンを救ったら抱かせろ	The deal: save Helman, bed Cream
クリームのトラウマを利用して抱く	He uses Cream's trauma and beds her
ランスがハニーキングとした約束	Rance's promise to the Hanny King
ハニー達の前にウルザとセックス	Sex with Urza in front of the Hannys
日光が美女に変身する事を知る	Nikkou can turn into a beauty
脅迫して抱く	so he blackmails her into bed
ランス城、アギレダの部屋	Rance Castle, Agireda's room
瓶をランスが探し出す	Rance digs out the jar
アギレダを抱く	He beds Agireda
世界の果てで瓶を捨てる約束	A promise to dump it at world's end
ワーグの部屋	Warg's room
ランスが会いに行く	Rance goes to see him
エリザベートを探し出して犯す	He hunts down Elizabeth and rapes her
へケートを探し出して犯す	He hunts down Hecate and rapes her
捕獲した絶滅危惧種を脱がす	Stripping the captured endangered
※対象女の子モンスター毎に	※For each girl monster there is
※個別のＣＧとテキストがあります	※its own CG and text
野戦テント内	Inside a field tent
発情が始まったベゼルアイを抱く	Bezeleye goes into heat; he beds her
卵が出来た	An egg is made
発情が始まったセラクロラスにキスされる	Serachrolas in heat kisses him
発情が始まったハウセスナースの	Housesnurse goes into heat; he
恋愛を邪魔して犯す	wrecks her romance and rapes her
発情が始まったウェンリーナーを抱く	Wenlina goes into heat; he beds her
その頃、世界のどこか…	Meanwhile, somewhere in the world...
勇者が人類削減に手を貸す	The hero helps thin out humanity
ランス城、教会内	Rance Castle, the chapel
クルックーに法王特典を使わせる	Crook is made to use her privilege
貴重な貝を再生させる為	to restore a precious shell
焦らず何もしない	No rush; do nothing
魔物都市サイサイツリーを攻撃	Attack the monster city Saisai Tree
ケイブリスが居るかもしれない	Kayblis may be there
魔物都市を攻撃したが	The monster city was attacked
ケイブリスを発見出来ず	but Kayblis was not found
ランス城に戻る	Back to Rance Castle
魔物都市ビューティツリーを攻撃	Attack the monster city Beauty Tree
魔物都市タンザモンザツリーを攻撃	Attack the city Tanzamonza Tree
ランス城　司令部	Rance Castle, the command room
魔物界へ攻め込む為の準備	Preparing to invade the demon world
各地から兵力２０万を集める	200,000 troops gathered from all over
御触れでケイブリスを呼ぶが	A proclamation calls Kayblis out
関係ない者ばかりやってきた	but only nobodies show up
暇です、する事なし	Free time, nothing to do
トッポスにひっぱらせて	Toppos pulls the castle along
魔物界付近まで来た	and it nears the demon world
作戦開始	The operation begins
リーザス方面	The Leazas front
作戦終了	The operation ends
ヘルマン方面	The Helman front
ゼス方面	The Zeth front
自由都市方面	The Free Cities front
空飛ぶランス城にて…	Aboard the flying Rance Castle...
ロナがメイドとして加わる	Rona joins as a maid
パットン、聖魔教団遺産の話	Patton on the Sect's legacy
闘神シグマの情報	Word of the War God Sigma
シィルと海岸に出る	Out to the shore with Sill
ロッキーを沈めて遊んでいると	While dunking Rocky for fun
何かを見つける	they find something
忙し過ぎて何もかも嫌になった	Too busy; he's sick of it all
シィルを連れて旅立つ	He takes Sill and leaves
何もしない一日	A day of doing nothing
修業を行う	Training
ＤＸの会による妨害工作	The DX Association sabotages
準備行動が何も出来ない	Nothing can be prepared
※条件　カチューシャが生きている時	※Condition: Katyusha alive
※条件　カチューシャが死んでいた時	※Condition: Katyusha dead
美樹がケイブリスに掠われた	Kayblis has stolen Miki
早く取り返さないと、美樹が殺され	Get her back or she is killed
ケイブリスが魔王になってしまう	and Kayblis becomes Demon King
魔物界の海岸	The demon world's shore
ノアと船長の会話	Noah and the captain talk
パステルと英霊達	Pastel and the heroic spirits
カスタムの面々	The Custom crowd
平和を願う謙信	Kenshin prays for peace
魔人レッドアイとの戦いに敗れ	Beaten by Fiend RedEye
ＪＡＰＡＮへ撤退してきた	they fall back to JAPAN
マンガン砦	Mangan Fort
この洞窟砦へ撤退してきた	They fall back to this cave fort
魔軍にＪＡＰＡＮの一部が占領された	The Monster Army holds part of JAPAN
美樹の魔王化が進む	Miki turns further into Demon King
魔物界への進軍計画の会議	A council on invading the demon world
美樹を奪われている為やるしか無い	Miki is taken; there is no choice
１００万の兵力が必要	A million soldiers are needed
優秀な兵士リストをクリームに作らせる	Cream lists the best soldiers
さらにシィルに選抜させる	and Sill picks from it
リーザス、リーザス城	Leazas, Leazas Castle
事後処理のリア	Lia handles the aftermath
ランスが逃げ遅れた魔軍の撃破に向かう	Rance goes after the stragglers
事後処理のシーラ、ヒューバート	Sheila and Hubert on the aftermath
ゼス、ゼス城	Zeth, Zeth Castle
時後処理のマジック、千鶴子	Magic and Chizuko on the aftermath
自由都市、Ｍランド	Free Cities, M-Land
事後処理で揉める都市長達	The mayors squabble over the cleanup
魔軍に占領されたリーザス	Leazas under the Monster Army
ランス達は囚われたリア王女の	Rance comes for captive Princess Lia
奪還の為に来た	a rescue mission
とある村	A certain village
魔物支配化の悲惨な様子	Life under monster rule is grim
占領下の町	An occupied town
魔改造され壊れたリアを回収	Lia, remade and broken, is recovered
魔軍に占領されたヘルマン	Helman under the Monster Army
ランス達は囚われたシーラ大統領の	Rance comes for captive Sheila
国民の助ける為に無下な命令に	To save her people she obeys
従っているシーラを回収	cruel orders; Sheila is recovered
魔軍に占領されたゼス	Zeth under the Monster Army
ランス達は囚われたマジックの	Rance comes for the captive Magic
壊れたマジックを回収	The broken Magic is recovered
魔軍に占領された自由都市	Free Cities under the Monster Army
ランス達は囚われたコパンドン達の	Rance comes for captive Copandon
とある町	A certain town
奴隷売買されていた	They were being sold as slaves
マリア、志津香、ナギ、コパンドンを	Maria, Shizuka, Nagi and Copandon
回収	are recovered
ランス城、策謀本部	Rance Castle, the war room
軍大移動の指示が行われている	Orders go out to move the armies
リーザス、フチュウ盆地	Leazas, the Fuchuu Basin
女の子モンスターや聖女モンスター	Girl monsters and Holy Gal Monsters
が居ると噂の場所	are rumoured to live here
ベゼルアイとウェンリーナー	Bezeleye and Wenlina
帰宅します	are coming home
ヘルマン、カコガワ農園	Helman, the Kakogawa Farm
聖女モンスターが居るという噂	A Holy Gal Monster is rumoured here
聖女モンスターを仲間にしたが	One joins the party, but
いまひとつな気分のランス	Rance is not quite satisfied
ワーグの家	Warg's house
夢による記憶改変で	Rewriting memories through dreams
美樹の運命の人になろうとするランス	Rance tries to be Miki's destined one
美樹の記憶	Miki's memories
健太郎の出番をランスで書き換える	Kentarou's part is rewritten as Rance
恋人になった魔王美樹を抱く	He beds Demon King Miki, now his lover
天満橋で魔軍と戦闘中	Fighting at Tenmabashi Bridge
橋のおかげで守られているが	The bridge protects them
橋のせいで大陸に進めない	but also blocks the way onward
ピグが坑道内を探索遊び	Pigu plays explorer in the tunnels
キャンテルに引っ張らせてみるが…	They try having Cantel pull it...
動かない	It does not budge
トッポスに引っ張らせて移動開始	Toppos pulls, and the castle moves
キナニ砂漠、カラーの森と進み	Past Kinani Desert and Kalar Forest
魔物界に到着した	it reaches the demon world
卵を運ぶアニスと千鶴子	Anise and Chizuko carry the egg
魔軍が襲ってきた	The Monster Army attacks
魔軍はトッポスを止めれない	They cannot stop Toppos
ケイブリスの居場所を探すが	They search for where Kayblis is
まだ特定出来ない	but cannot pin it down yet
魔物界の奥地へ進む	Deeper into the demon world
魔軍はトッポスを止められない	The Monster Army cannot stop Toppos
魔軍はアニスを止めれない	Nor can they stop Anise
さらに魔物界奥地へ	Deeper still
ケイブリスの居場所は	Kayblis is either at
ベズドグ山かタンザモンザツリー	Mount Bezdog or Tanzamonza Tree
行きすぎた…	They went too far...
世界の果てから落ちます	and fall off the world's edge
各国からの精鋭が集まる	The best of every nation gather
海路で敵本拠地へ向かう	By sea to the enemy's home base
※要各地域有無　内容若干変化	※Varies by which regions survive
※要各魔人　　　内容若干変化	※Varies by which Fiends are left
ジフテリア	Diphteria
港で出港準備	Making ready to sail
船長の紹介	The captain is introduced
２隻への乗船振り分け	Splitting up between the two ships
多数の見送りを受けつつ	A great crowd sees them off
２隻は出航した	and the two ships sail
初めての海	The sea, for the first time
船長、コパンドンと航海予定	The voyage plan, with the captain
